protocol,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,median_wall_time,median_nodes,mean_final_gap,finite_gap_runs,par2,average_rank,rl_inference_total,rl_inference_fraction,fallback_count,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses
production-scip,test,small,default,2,2,1.0,0.9476321851925462,3.4721359549995796,1.0355621235,5.0,0.0,2,1.0355621235,1.0,0.0,0.0,0,1.0,1.0,1.0,0,6,0
production-scip,test,small,rl-gcnn,2,2,1.0,1.280825143557506,3.2426406871192848,1.4383890785000002,4.5,0.0,2,1.4383890785000002,2.0,1.142309721,0.4634705019339169,0,0.5971232067131932,0.45180322097629977,0.7694455250513541,0,0,6
production-scip,test,small,rl-gcnn-prim,2,2,1.0,2.2502568909763805,7.4852813742385695,3.0445706035,18.0,0.0,2,3.0445706035,3.0,3.802115487,0.6789942987284155,0,0.7671905793842574,0.4485967447051183,1.391276097158766,2,0,4
production-scip,transfer,medium,default,2,2,1.0,41.93912621273136,58.70762095411272,45.1603684555,88.0,0.0,2,45.1603684555,2.0,0.0,0.0,0,1.0,1.0,1.0,0,6,0
production-scip,transfer,medium,rl-gcnn,2,2,1.0,81.95369996071366,92.69098142297368,86.71452074550001,98.5,0.0,2,86.71452074550001,3.0,121.44549815900001,0.7052104660863736,0,0.5971232067131932,0.45180322097629977,0.7694455250513541,0,0,6
production-scip,transfer,medium,rl-gcnn-prim,2,2,1.0,24.520771363682325,12.96424004376894,24.568027645,13.0,0.0,2,24.568027645,1.0,17.304368546,0.36169562210050304,0,0.7671905793842574,0.4485967447051183,1.391276097158766,2,0,4
production-scip,validation,medium,default,2,2,1.0,11.074662141327714,4.099019513592785,11.227176958000001,6.5,0.0,2,11.227176958000001,1.0,0.0,0.0,0,1.0,1.0,1.0,0,6,0
production-scip,validation,medium,rl-gcnn,2,2,1.0,19.838487787339268,10.83215956619923,24.500946990499997,35.0,0.0,2,24.500946990499997,2.5,28.063887565,0.5827991121373822,0,0.5971232067131932,0.45180322097629977,0.7694455250513541,0,0,6
production-scip,validation,medium,rl-gcnn-prim,2,2,1.0,19.27389428454175,9.295630140986999,23.278868699,26.5,0.0,2,23.278868699,2.5,25.400986182,0.5550999120725283,0,0.7671905793842574,0.4485967447051183,1.391276097158766,2,0,4
production-scip,all,all,default,6,6,1.0,9.032558735869658,10.083505632148125,11.227176958000001,10.5,0.0,6,19.141035845666668,1.3333333333333333,0.0,0.0,0,1.0,1.0,1.0,0,6,0
production-scip,all,all,rl-gcnn,6,6,1.0,14.797849945798374,15.754546849331266,24.500946990499997,36.5,0.0,6,37.55128560483334,2.5,150.651695445,0.6760834955066534,0,0.5971232067131932,0.45180322097629977,0.7694455250513541,0,0,6
production-scip,all,all,rl-gcnn-prim,6,6,1.0,10.891853601133953,9.685105851592926,16.4676179245,13.0,0.0,6,16.96382231583333,2.1666666666666665,46.507470215,0.46881924112816165,0,0.7671905793842574,0.4485967447051183,1.391276097158766,2,0,4
