phase8 runner: jobs=40 workers=4 cuda_devices=1,2,4,5 default_time_limit=300.0 max_concurrent_large=2
[1/40] production-scip real_09 default seed=1 tl=120s rc=0
[2/40] production-scip real_09 rl-gcnn seed=1 tl=120s rc=0
[3/40] production-scip real_09 default seed=0 tl=120s rc=0
[4/40] production-scip real_09 rl-gcnn-prim-decode seed=1 tl=120s rc=0
[5/40] production-scip real_09 rl-gcnn seed=0 tl=120s rc=0
[6/40] production-scip real_09 rl-gcnn-prim-feat seed=1 tl=120s rc=0
[7/40] production-scip real_09 rl-gcnn-prim-feat-decode seed=1 tl=120s rc=0
[8/40] production-scip real_09 rl-gcnn-prim-feat seed=0 tl=120s rc=0
[9/40] production-scip real_09 rl-gcnn-prim-decode seed=0 tl=120s rc=0
[10/40] production-scip real_09 rl-gcnn-prim-feat-decode seed=0 tl=120s rc=0
[11/40] production-scip real_08 default seed=1 tl=300s rc=0
[12/40] production-scip real_08 default seed=0 tl=300s rc=0
[13/40] production-scip real_08 rl-gcnn seed=1 tl=300s rc=0
[14/40] production-scip real_08 rl-gcnn-prim-decode seed=1 tl=300s rc=0
[15/40] production-scip real_08 rl-gcnn-prim-feat seed=1 tl=300s rc=0
[16/40] production-scip real_08 rl-gcnn-prim-feat seed=0 tl=300s rc=0
[17/40] production-scip real_08 rl-gcnn seed=0 tl=300s rc=0
[18/40] production-scip real_08 rl-gcnn-prim-decode seed=0 tl=300s rc=0
[19/40] production-scip real_08 rl-gcnn-prim-feat-decode seed=1 tl=300s rc=0
[20/40] production-scip real_08 rl-gcnn-prim-feat-decode seed=0 tl=300s rc=0
[21/40] production-scip real_01 default seed=1 tl=600s rc=0
[22/40] production-scip real_01 rl-gcnn-prim-decode seed=0 tl=600s rc=0
[23/40] production-scip real_01 default seed=0 tl=600s rc=0
[24/40] production-scip real_01 rl-gcnn-prim-decode seed=1 tl=600s rc=0
[25/40] production-scip real_01 rl-gcnn seed=1 tl=600s rc=0
[26/40] production-scip real_01 rl-gcnn seed=0 tl=600s rc=0
[27/40] production-scip real_01 rl-gcnn-prim-feat seed=1 tl=600s rc=0
[28/40] production-scip real_01 rl-gcnn-prim-feat-decode seed=0 tl=600s rc=0
[29/40] production-scip real_05 default seed=0 tl=600s rc=0
[30/40] production-scip real_05 default seed=1 tl=600s rc=0
[31/40] production-scip real_05 rl-gcnn seed=0 tl=600s rc=0
[32/40] production-scip real_01 rl-gcnn-prim-feat-decode seed=1 tl=600s rc=0
[33/40] production-scip real_01 rl-gcnn-prim-feat seed=0 tl=600s rc=0
[34/40] production-scip real_05 rl-gcnn-prim-decode seed=1 tl=600s rc=0
[35/40] production-scip real_05 rl-gcnn seed=1 tl=600s rc=0
[36/40] production-scip real_05 rl-gcnn-prim-feat-decode seed=0 tl=600s rc=0
[37/40] production-scip real_05 rl-gcnn-prim-feat seed=0 tl=600s rc=0
[38/40] production-scip real_05 rl-gcnn-prim-decode seed=0 tl=600s rc=0
[39/40] production-scip real_05 rl-gcnn-prim-feat seed=1 tl=600s rc=0
[40/40] production-scip real_05 rl-gcnn-prim-feat-decode seed=1 tl=600s rc=0
completed=40 failures=0
