event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,229,62,193,t_z_22_21_0,0.30551532998786896,0.30551532998786896,-3.3701927661895752,0.83052129399999997,0.90160378200000002,true,branched,
1,3,1,228,62,215,t_z_26_25_3,0.00099999999999997205,0.00099999999999997205,-2.6303708553314209,0.81612037500000001,0.88587506900000001,true,branched,
2,4,2,228,62,214,t_z_25_26_3,0.00049999999999972289,0.00049999999999972289,-1.6570746898651123,0.81678670900000006,0.88697553799999995,true,branched,
3,6,3,222,60,240,t_z_19_55_0,0.44003310922094696,0.44003310922094696,-0.82648682594299316,0.81932705900000002,0.88914195600000001,true,branched,
4,9,4,223,60,243,t_z_55_19_1,0.0030000000000001137,0.0030000000000001137,-0.1106318011879921,0.81553126899999995,0.88678595400000004,true,branched,
5,10,5,226,60,242,t_z_19_55_1,0.0010000000000001119,0.0010000000000001119,0.086121939122676849,0.81126526099999996,0.88260071200000001,true,branched,
6,12,6,234,60,244,t_z_19_55_2,0.0010000000000001119,0.0010000000000001119,0.13213041424751282,0.79737739799999996,0.86690193800000004,true,branched,
7,14,7,236,60,245,t_z_55_19_2,0.0010000000000001119,0.0010000000000001119,0.23345509171485901,0.79723999499999998,0.86788670000000001,true,branched,
8,16,8,226,58,185,t_z_19_17_0,0.25049999999999972,0.25049999999999972,0.19554725289344788,0.79969301000000004,0.87466520999999997,true,branched,
9,18,9,227,58,184,t_z_17_19_0,0.25049999999999972,0.25049999999999972,0.27999559044837952,0.79532403500000004,0.86485089299999995,true,branched,
10,21,10,216,61,328,t_z_19_100_0,0.25050000000000006,0.25050000000000006,0.34678235650062561,0.80139210100000002,0.86939232099999997,true,branched,
11,20,10,224,156,1541,t_z_277_6_2,0.46225946093111869,0.46225946093111869,0.27339592576026917,0.79882784900000003,0.86708308499999998,true,branched,
12,25,11,223,146,1465,t_z_272_269_0,0.0010000000000000009,0.0010000000000000009,0.3571714460849762,0.80861499299999995,0.87758900900000003,true,branched,
13,26,12,222,145,1464,t_z_269_272_0,0.33372692621835021,0.33372692621835021,0.43913808465003967,0.79911557700000002,0.86809515299999995,true,branched,
14,29,13,221,157,1548,t_z_6_278_2,0.37726980669752186,0.37726980669752186,0.50869953632354736,0.79873171799999998,0.86726725400000004,true,branched,
15,31,14,220,159,1556,t_z_278_279_2,0.37726980669752186,0.37726980669752186,0.57375955581665039,0.797486633,0.865873279,true,branched,
16,33,15,219,162,1564,t_z_279_280_2,0.37726980669752186,0.37726980669752186,0.62958276271820068,0.80127340899999999,0.87056599300000004,true,branched,
17,35,16,218,203,1993,t_z_132_22_0,0.33372692621835021,0.33372692621835021,0.68236768245697021,0.80454998600000005,0.87447858999999994,true,branched,
18,37,17,211,157,1561,t_z_280_279_0,0.34909237875288707,0.34909237875288707,0.74864566326141357,0.80167756000000001,0.87196465899999998,true,branched,
19,39,18,210,153,1547,t_z_278_6_1,0.14789722863741372,0.14789722863741372,0.81436026096343994,0.80532895100000002,0.87445711999999998,true,branched,
20,41,19,209,117,1201,t_z_242_241_0,0.33098152424942284,0.33098152424942284,0.87631571292877197,0.80008759200000001,0.86809075899999999,true,branched,
21,42,20,207,148,1538,t_z_6_277_1,0.34786939177978526,0.34786939177978526,0.92602980136871338,0.79950401999999998,0.86786857299999998,true,branched,
22,45,21,206,115,1200,t_z_241_242_0,0.33253783576640128,0.33253783576640128,0.98468959331512451,0.80338999,0.873684028,true,branched,
23,47,22,205,156,1572,t_z_280_281_2,0.4688125730646277,0.4688125730646277,1.0372937917709351,0.80440718899999997,0.87359348000000003,true,branched,
24,49,23,204,159,1580,t_z_281_282_2,0.4688125730646277,0.4688125730646277,1.0967162847518921,0.80127541899999999,0.87016751699999995,true,branched,
25,51,24,203,162,1588,t_z_282_283_2,0.4688125730646277,0.4688125730646277,1.1559230089187622,0.80738098300000005,0.87716605000000003,true,branched,
26,53,25,202,165,1596,t_z_283_284_2,0.4688125730646277,0.4688125730646277,1.2160741090774536,0.79797057900000001,0.86752209199999997,true,branched,
27,55,26,201,168,1604,t_z_284_285_2,0.4688125730646277,0.4688125730646277,1.2773574590682983,0.80286048499999996,0.87179000799999995,true,branched,
28,57,27,200,147,1543,t_z_277_6_3,0.36692404728696426,0.36692404728696426,1.3288449048995972,0.80041174900000001,0.86919113100000001,true,branched,
29,59,28,199,47,151,t_z_6_5_3,0.050386070930446503,0.050386070930446503,1.4389611482620239,0.80215646100000004,0.87088294499999996,true,branched,
30,61,29,190,117,1257,t_z_249_248_0,0.31264444444444439,0.31264444444444439,1.4492093324661255,0.80413437600000004,0.87199115500000002,true,branched,
31,62,30,190,188,2121,t_z_241_147_0,0.31264444444444439,0.31264444444444439,1.5110011100769043,0.79686824099999998,0.86484844400000005,true,branched,
32,65,31,189,86,681,t_z_147_146_0,0.31264444444444439,0.31264444444444439,1.5779167413711548,0.80076052600000003,0.86995623399999999,true,branched,
33,67,32,188,84,673,t_z_146_145_0,0.31264444444444439,0.31264444444444439,1.6416651010513306,0.79739490199999996,0.86612179499999997,true,branched,
34,68,33,204,153,1537,t_z_277_6_0,0.48324999999999996,0.48324999999999996,1.7349036931991577,0.79781430200000003,0.86536788099999995,true,branched,
35,71,34,207,158,1555,t_z_279_278_1,0.37928133869441805,0.37928133869441805,1.7910362482070923,0.80370634399999996,0.87214318300000004,true,branched,
36,73,35,206,159,1563,t_z_280_279_1,0.37928133869441805,0.37928133869441805,1.8544467687606812,0.80042625199999995,0.86901195399999998,true,branched,
37,75,36,205,120,1256,t_z_248_249_0,0.46356315042573293,0.46356315042573293,1.8991390466690063,0.79859525799999997,0.86748851800000004,true,branched,
38,77,37,204,159,1569,t_z_281_280_0,0.46356315042573337,0.46356315042573337,1.9531484842300415,0.79946344800000002,0.86816624600000003,true,branched,
39,79,38,203,161,1577,t_z_282_281_0,0.46356315042573337,0.46356315042573337,2.0070464611053467,0.79837910599999995,0.86740894599999996,true,branched,
40,81,39,202,163,1585,t_z_283_282_0,0.46356315042573337,0.46356315042573337,2.0617332458496094,0.79879795399999998,0.86797980299999999,true,branched,
41,83,40,219,51,149,t_z_6_5_2,0.21977321114776238,0.21977321114776238,2.1884162425994873,0.80055725799999999,0.86967897999999999,true,branched,
42,85,41,218,54,163,t_z_12_11_1,0.41626917185409695,0.41626917185409695,2.2117519378662109,0.80327801099999996,0.872257057,true,branched,
43,86,42,219,54,162,t_z_11_12_1,0.41626917185409695,0.41626917185409695,2.2642953395843506,0.81144027600000002,0.88488975700000005,true,branched,
44,89,43,218,52,156,t_z_5_7_2,0.11883107140460503,0.11883107140460503,2.3158578872680664,0.78402624600000004,0.85186770999999994,true,branched,
45,91,44,217,52,158,t_z_5_7_3,0.17645592286501366,0.17645592286501366,2.3907411098480225,0.78031837999999998,0.84828721799999995,true,branched,
46,93,45,207,49,197,t_z_22_21_2,0.0010000000000000009,0.0010000000000000009,2.4352066516876221,0.73129232399999999,0.79934604200000003,true,branched,
47,95,46,218,207,1996,t_z_22_132_2,0.46526666666666661,0.46526666666666661,2.471116304397583,0.74793722299999998,0.81796598499999995,true,branched,
48,97,47,218,135,1281,t_z_250_244_0,0.5,0.5,2.5115466117858887,0.785843336,0.85487217599999998,true,branched,
49,99,48,217,128,1225,t_z_244_243_0,0.5,0.5,2.5721800327301025,0.79332554499999997,0.86219158299999998,true,branched,
50,100,49,221,182,1593,t_z_284_283_0,0.43528683693516729,0.43528683693516729,2.6104526519775391,0.77966027100000002,0.849282643,true,branched,
51,103,50,220,184,1601,t_z_285_284_0,0.43528683693516729,0.43528683693516729,2.6650149822235107,0.80567053300000002,0.873676122,true,branched,
52,105,51,219,172,1550,t_z_6_278_3,0.23614685658153212,0.23614685658153212,2.709749698638916,0.78581397399999997,0.85575876200000001,true,branched,
53,107,52,218,173,1558,t_z_278_279_3,0.23614685658153212,0.23614685658153212,2.7640705108642578,0.79588847299999999,0.86544621399999999,true,branched,
54,109,53,217,173,1566,t_z_279_280_3,0.23614685658153212,0.23614685658153212,2.8183503150939941,0.78808221700000003,0.85582612999999996,true,branched,
55,111,54,216,173,1571,t_z_281_280_1,0.24534921414538352,0.24534921414538352,2.8701300621032715,0.79240705899999997,0.85968028699999999,true,branched,
56,113,55,215,174,1579,t_z_282_281_1,0.2453492141453833,0.2453492141453833,2.9175758361816406,0.79190121499999999,0.85969446699999996,true,branched,
57,115,56,214,175,1587,t_z_283_282_1,0.2453492141453833,0.2453492141453833,2.9506239891052246,0.78900853900000001,0.85838529100000005,true,branched,
58,117,57,213,176,1595,t_z_284_283_1,0.2453492141453833,0.2453492141453833,2.9680049419403076,0.77230872100000003,0.84274829200000001,true,branched,
