event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,180,66,177,t_z_32_11_0,0.26013369510644246,0.26013369510644246,-3.4300832748413086,0.56068256000000005,0.59657504699999997,true,branched,
1,2,1,180,66,176,t_z_11_32_0,0.22376281882976701,0.22376281882976701,-2.63912034034729,0.48774411299999998,0.52339065500000004,true,branched,
2,4,2,173,43,93,t_z_2_1_2,0.0010000000000000009,0.0010000000000000009,-1.666606068611145,0.40073561000000002,0.435861942,true,branched,
3,6,3,161,73,241,t_z_47_45_0,0.0010000000000000009,0.0010000000000000009,-0.69037008285522461,0.38345433099999998,0.41980115200000001,true,branched,
4,8,4,161,73,240,t_z_45_47_0,0.0010000000000000009,0.0010000000000000009,0.092701815068721771,0.38351616500000002,0.418815614,true,branched,
5,10,5,173,65,183,t_z_32_11_3,0.0010000000000000009,0.0010000000000000009,0.1325315535068512,0.40269835700000001,0.43707773900000002,true,branched,
6,12,6,173,65,182,t_z_11_32_3,0.0010000000000000009,0.0010000000000000009,0.17420294880867004,0.35900443399999998,0.39469124900000002,true,branched,
7,14,7,177,65,181,t_z_32_11_2,0.0010000000000000009,0.0010000000000000009,0.20123758912086487,0.36160123900000002,0.39621833699999998,true,branched,
8,16,8,177,65,180,t_z_11_32_2,0.0010000000000000009,0.0010000000000000009,0.25883165001869202,0.36455981300000001,0.40010560299999998,true,branched,
9,18,9,136,126,1401,t_z_241_240_0,0.45024255668038499,0.45024255668038499,0.30103209614753723,0.35924462800000001,0.39429713399999999,true,branched,
10,21,10,152,85,427,t_z_91_90_1,0.44285714285714278,0.44285714285714278,0.366312175989151,0.41917601599999998,0.45381866100000001,true,branched,
11,23,11,151,110,725,t_z_60_59_2,0.0010000000000000009,0.0010000000000000009,0.40497139096260071,0.40032516800000001,0.43559661700000002,true,branched,
12,25,12,150,143,1613,t_z_237_123_2,0.00099999999999997205,0.00099999999999997205,0.45387819409370422,0.38147995600000001,0.41639949700000001,true,branched,
13,27,13,149,79,417,t_z_90_89_0,0.39999999999999997,0.39999999999999997,0.49242320656776428,0.38501991099999999,0.42070048199999999,true,branched,
14,29,14,148,92,601,t_z_109_88_0,0.4009999999999998,0.4009999999999998,0.54075992107391357,0.38209188500000002,0.41722158199999998,true,branched,
15,31,15,147,37,95,t_z_2_1_3,0.70442025944807041,0.70442025944807041,0.55544853210449219,0.38395590099999999,0.41965570600000002,true,branched,
16,33,16,146,132,1385,t_z_239_238_0,0.39999999999999991,0.39999999999999991,0.61328637599945068,0.361904895,0.396032406,true,branched,
17,34,17,147,59,199,t_z_35_16_3,0.4048571428571428,0.4048571428571428,0.68945372104644775,0.366631861,0.40254774199999999,true,branched,
18,35,17,132,120,1387,t_z_239_238_1,0.45912244897959198,0.45912244897959198,0.69006574153900146,0.38079322199999999,0.41600062399999999,true,branched,
19,39,18,129,125,2032,t_z_238_321_0,0.42871428571428549,0.42871428571428549,0.73777759075164795,0.440883462,0.47594615400000001,true,branched,
20,41,19,128,46,139,t_z_20_16_1,0.51046938775510153,0.51046938775510153,0.78665721416473389,0.44800897699999997,0.48295710400000003,true,branched,
21,43,20,127,53,199,t_z_35_16_3,0.45912244897959187,0.45912244897959187,0.83053410053253174,0.46117158000000003,0.49619217900000001,true,branched,
22,45,21,127,84,471,t_z_16_15_3,0.54087755102040813,0.54087755102040813,0.8708726167678833,0.38252167199999998,0.41796390700000002,true,branched,
23,47,22,125,33,89,t_z_2_1_0,0.999,0.999,0.91403090953826904,0.48031586199999998,0.51625362100000005,true,branched,
24,48,23,142,37,92,t_z_1_2_2,0.010416666666666685,0.010416666666666685,1.1615239381790161,0.38450505200000001,0.41997844400000001,true,branched,
25,49,23,124,73,423,t_z_90_89_3,0.54087755102040802,0.54087755102040802,0.97917354106903076,0.45358209900000002,0.48920439199999999,true,branched,
