event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,8,13,t_m_3_1,0.0019999999999997802,0.0019999999999997802,-39.765674591064453,0.15999023800000001,0.16811842499999999,true,branched,
1,2,1,48,4,6,t_m_1_2,0.49949999999999994,0.49949999999999994,-39.934711456298828,0.13312569899999999,0.14469010900000001,true,branched,
2,4,2,46,5,9,t_m_2_1,0.0015000000000000846,0.0015000000000000846,-39.904476165771484,0.165265196,0.181297188,true,branched,
3,5,2,40,3,9,t_m_2_1,0.0015000000000000568,0.0015000000000000568,-39.968379974365234,0.14943305800000001,0.159969637,true,branched,
4,8,3,46,6,14,t_m_3_2,0.00075000000000002842,0.00075000000000002842,-40.044315338134766,0.13070983999999999,0.13898174399999999,true,branched,
5,10,4,47,6,15,t_m_3_3,0.00075000000000002842,0.00075000000000002842,-40.160198211669922,0.14970557900000001,0.15802793500000001,true,branched,
6,12,5,42,4,11,t_m_2_3,0.0015000000000000568,0.0015000000000000568,-40.258953094482422,0.106040987,0.114409833,true,branched,
7,14,6,41,13,69,t_z_32_3_0,0.0015000000000000568,0.0015000000000000568,-40.858051300048828,0.14302424,0.151213872,true,branched,
8,16,7,41,13,68,t_z_3_32_0,0.0015000000000000568,0.0015000000000000568,-40.794612884521484,0.148877387,0.15702940400000001,true,branched,
9,18,8,39,12,75,t_z_32_3_3,0.0015000000000000568,0.0015000000000000568,-40.979427337646484,0.152364255,0.160660619,true,branched,
10,21,9,38,3,17,t_m_4_1,0.00075000000000002842,0.00075000000000002842,-40.672008514404297,0.15112796100000001,0.15970630699999999,true,branched,
11,20,9,39,12,74,t_z_3_32_3,0.0015000000000000568,0.0015000000000000568,-41.148777008056641,0.155648076,0.16387860400000001,true,branched,
12,24,10,42,26,1043,t_z_200_3_3,0.5,0.5,-41.324954986572266,0.13619751399999999,0.14427801000000001,true,branched,
13,27,11,39,12,73,t_z_32_3_2,0.0015000000000000568,0.0015000000000000568,-41.424007415771484,0.15030893300000001,0.15868675500000001,true,branched,
14,28,12,39,12,72,t_z_3_32_2,0.0015000000000000568,0.0015000000000000568,-41.360420227050781,0.107767724,0.115948538,true,branched,
15,31,13,38,2,17,t_m_4_1,0.00075000000000002842,0.00075000000000002842,-41.218788146972656,0.15355090399999999,0.161739359,true,branched,
16,33,14,33,0,21,t_m_5_1,0.0025000000000000577,0.0025000000000000577,-41.292625427246094,0.113182751,0.121388405,true,branched,
17,34,15,41,0,1,t_m_0_1,0.0015000000000000568,0.0015000000000000568,-41.385501861572266,0.137259359,0.14539807699999999,true,branched,
18,36,16,39,3,26,t_m_6_2,0.0013333333333334085,0.0013333333333334085,-41.501605987548828,0.13005340300000001,0.138456622,true,branched,
19,38,17,34,0,20,t_m_5_0,0.0010000000000000009,0.0010000000000000009,-41.813465118408203,0.12646326699999999,0.13463070399999999,true,branched,
20,40,18,31,28,1853,t_z_29_18_0,0.999,0.999,-41.733711242675781,0.16382484,0.17599577699999999,true,branched,
21,43,19,29,16,1041,t_z_200_3_2,0.999,0.999,-41.808494567871094,0.135481032,0.14363205500000001,true,branched,
22,45,20,26,5,70,t_z_3_32_1,0.999,0.999,-41.950771331787109,0.13500361999999999,0.14323190399999999,true,branched,
23,47,21,24,2,57,t_z_25_24_2,0.0010000000000000009,0.0010000000000000009,-42.884979248046875,0.114713633,0.12285206899999999,true,branched,
24,49,22,21,8,1031,t_z_200_199_1,0.999,0.999,-42.218223571777344,0.13183974700000001,0.140076217,true,branched,
25,51,23,16,2,919,t_z_188_10_1,0.999,0.999,-42.287906646728516,0.124514667,0.13265987600000001,true,branched,
26,53,24,15,6,1045,t_z_33_3_0,0.999,0.999,-42.402667999267578,0.14993424399999999,0.15799935700000001,true,branched,
27,54,25,13,7,1112,t_z_15_18_2,0.999,0.999,-42.635704040527344,0.15300587299999999,0.16116095499999999,true,branched,
28,57,26,8,3,1038,t_z_3_200_1,0.999,0.999,-42.761444091796875,0.15072903800000001,0.15883720800000001,true,branched,
29,59,27,6,3,1072,t_z_14_15_2,0.999,0.999,-42.891548156738281,0.14775543199999999,0.15587200600000001,true,branched,
30,61,28,3,2,71,t_z_32_3_1,0.0010000000000000009,0.0010000000000000009,-43.065719604492188,0.15255439400000001,0.16095372699999999,true,branched,
31,62,29,3,2,1039,t_z_200_3_1,0.0010000000000000009,0.0010000000000000009,-43.172004699707031,0.13331378799999999,0.141439497,true,branched,
32,64,30,2,0,38,t_z_1_3_1,0.999,0.999,-43.252590179443359,0.13167247600000001,0.13970421999999999,true,branched,
